ID,Webová stránka,Pôvodný názov firmy,Skrátený názov,Meno Decision Makera,Priezvisko/Oslovenie (variable),AI Pochvala (Icebreaker),Poznámka pre kontrolu
bf038968-7d8d-4a9b-871d-6a654aa908ff,http://mpmautoservis.sk/,"MPM Autoservis – Autoservis, výkup a predaj ojazdených vozidiel","MPM Autoservis","","","Naozaj ma zaujalo, že ponúkate výkup vozidiel do 24 hodín v hotovosti – v dnešnej dobe je efektivita a transparentnosť naozaj cenná.","Decision maker's name (Owner/CEO/Founder) not found on the provided website content."
523a0b37-58f5-4d39-8e94-7ebd4e6dd308,http://www.mdmautoservis.sk/,"MDM Autoservis – 30 rokov spoľahlivo a kvalitne","MDM Autoservis","ĎUROVEC"," pán ĎUROVEC","Naozaj ma zaujalo, že MDM Autoservis už 30 rokov spoľahlivo a kvalitne poskytuje svoje služby – v dnešnej dobe je takáto dlhoročná tradícia a dôveryhodnosť mimoriadne cenná.","Only the surname 'ĎUROVEC' is available, strongly associated with the company in the contact section, suggesting ownership/leadership. No first name found."
bcad692c-771c-4a51-8f25-a452df2bd3ac,https://www.autoskloservis.net/sk/,"Úvod | Autosklo Servis | Púchov<br /> <b>Deprecated</b>: Constant ...","Autosklo Servis","","","Naozaj ma zaujalo, že sa snažíte primárne opravovať poškodené autosklá, a až keď je to nevyhnutné, ich vymieňať – v dnešnej dobe je takýto prístup k zákazníkovi a udržateľnosti naozaj obdivuhodný.","Decision maker's name not found on the provided website content."
a5062fee-d55b-48ec-b439-2f38bed6a278,https://www.pamipaservis.sk/,"Pamipa Autoservis: Autoservis Púchov","Pamipa autoservis","","","Naozaj ma zaujalo, že ako prví v regióne ste sa začali venovať preplachom automatických prevodoviek a zároveň ponúkate náhradné vozidlo zdarma – v dnešnej dobe je takýto komplexný a proklientsky prístup naozaj výnimočný.","No specific decision maker's name (owner, CEO, founder) found on the provided website content."
472320da-8fce-4184-8d01-29ac0280f61e,https://www.car-advisor.sk/spolocnost/s-autoservis-vranov-nad-toplou/SK-8437,"Š - AUTOSERVIS Vranov nad Topľou - car.advisor","S-Autoservis","","","Naozaj ma zaujalo, že S-Autoservis dosahuje výnimočnú celkovú spokojnosť zákazníkov (4.8/5 z 42 hodnotení) a opakovane zbiera pochvaly za profesionalitu a ústretovosť tímu – v dnešnej dobe je takýto osobný prístup a dôvera skutočne cenné.","No owner, CEO, or founder was explicitly mentioned on the provided page. 'Pán Bartko' and 'pán Mikloš' are identified as a reception technician and service staff, respectively, not decision-makers."
f949c14d-db9d-4b49-949e-691e246a5e67,https://s-autoservis-vranov-s-r-o.autobazar.sk/,"Š-Autoservis Vranov,s.r.o. | Autobazar.sk","Š-Autoservis","","","Naozaj ma zaujalo, že máte v ponuke taký široký a rozmanitý výber vozidiel – v dnešnej dobe je takáto komplexnosť a flexibilita pre zákazníkov veľmi cenná.","Decision maker's name not found on the provided Autobazar.sk page. The content lists vehicle advertisements and company name only."
48195903-45b2-4e00-a80c-7ba92776dd8a,https://autokellyvranov.sk/,"Autoservis Vranov - Autoservis AUTO KELLY","Auto Kelly Vranov","","","Naozaj ma zaujalo, že ponúkate autosúčiastky do 24 hodín – v dnešnej dobe je takáto rýchlosť a spoľahlivosť kľúčová pre spokojnosť zákazníkov.","No specific decision maker (Owner, CEO, Founder) name was found on the provided website content. The legal entity 'Rbpp trading s.r.o.' is mentioned, but no individual's name is associated with it."
2c0eaa13-d0aa-4f9a-b0f7-176fa0045201,https://skautoservis.sk/,"ŠK AUTOSERVIS - NON STOP Odťahová a Asistenčná služba ...","ŠK Autoservis","","","Naozaj ma zaujalo, že ste ako jediní v Trebišove zazmluvnení so všetkými poisťovňami pre odťahovú a asistenčnú službu – v dnešnej dobe je takáto komplexnosť a spoľahlivosť obrovská hodnota pre zákazníkov.","No specific decision maker (owner, CEO, founder) is mentioned on the provided website content."
d1edea7c-39b4-4f8c-848e-b98255f57f32,https://www.aumotv.sk/,"Autoservis Trebišov - Vrátime vášmu autu jeho pôvodnú formu","AUMO","","","Naozaj ma zaujalo, že v AUMO hovoríte jasne a na rovinu, bez skrytých poplatkov, a každý krok vopred konzultujete – v dnešnej dobe je takáto transparentnosť a férovosť kľúčová pre dôveru zákazníkov.","No specific individual decision maker (owner, CEO, founder) was identified on the website. The company is AUMO, s.r.o."
87416eb0-7a5f-42a2-98d5-1bbbe25c6e45,https://rr.q-service.sk/,"Úvod | Q-SERVICE ® RR AUTOSERVIS","RR Autoservis","","","Naozaj ma zaujalo, že RR Autoservis má viac ako 15 ročnú tradíciu – v dnešnej dobe je takáto stabilita a skúsenosť na trhu naozaj obdivuhodná.","No specific decision maker (Owner, CEO, Founder) found on the provided website content."
c0839cc0-972d-4fba-bdb0-29fd8e3c3042,https://autobober.sk/,"Autobober – autoservis a pneuservis","Autobober","","","Naozaj ma zaujalo, že ponúkate non-stop servis 24/7 – v dnešnej dobe je takáto dostupnosť a ochota pomôcť ihneď naozaj cenná.","No specific decision maker's name (owner, CEO, founder) was found on the provided website content."
1d1a50be-f2fb-49be-887c-c4c7816b3633,https://cekoss-pneu.sk/,"CEKOSS spol. s r.o. - Dunajská Streda","CEKOSS","","","Naozaj ma zaujalo, že CEKOSS prevádzkuje najmodernejší pneuservis v okrese Dunajská Streda a používa špičkovú technológiu CORGHI, ktorá je dodávateľom aj pre FERRARI – v dnešnej dobe je takýto záväzok k špičkovej kvalite a inováciám naozaj obdivuhodný.","No specific decision maker (Owner, CEO, Doctor, Founder) was identified by name in the provided website content."
5551155e-5e52-4676-b684-b6c974f81c01,https://www.hyundai.com/sk/sk/stranky-dealerov/behr-dunajska-streda.html,"AUTOSERVIS BÉHR & BÉHR, Dunajská Streda","Béhr & Béhr","","","Naozaj ma zaujalo, že ako autorizovaný predajca a servis Hyundai ponúkate tak komplexné služby, vrátane programu Hyundai Promise pre jazdené vozidlá – v dnešnej dobe je takýto dôraz na dôveru a kvalitu mimoriadne dôležitý.","No specific decision maker (owner, CEO, director) name was found on the provided website content."
c0e53a04-db03-4719-80ff-48ce93fbbce6,https://www.danybox.sk/,"Pneuservis a autoservis Šaľa | Danybox s.r.o.","Danybox","","","Naozaj ma zaujalo, že máte skúsený tím mechanikov s dlhoročnou praxou v autoritovaných zahraničných servisoch – v dnešnej dobe je takáto odbornosť a skúsenosti skutočne vzácne.","Decision maker's name (Owner, CEO, Founder) not found on the website content provided."
568bb890-6e78-4bd4-b2b8-6927f89d62c6,https://autoservis.szm.sk/,"Autoservis u OLIVERA","Autoservis u Olivera","Oliver","","Naozaj ma zaujalo, že váš autoservis nesie osobné meno Olivera – v dnešnej dobe je takýto osobný prístup a dôvera k zákazníkom veľmi cenná.","Decision maker's first name (Oliver) is inferred from the company name 'Autoservis u OLIVERA'. Last name and further business details are not available as no website content was provided for analysis."
208952de-7e4f-4869-ab97-97b6414b8bae,https://autoservisth.sk/,"Autoservis TH - Spoľahlivý autoservis v Šali | Mechanické práce, STK ...","Autoservis TH","","","Naozaj ma zaujalo, že máte za sebou už 15+ rokov skúseností a viac ako 8000 spokojných zákazníkov – v dnešnej dobe je takáto dlhodobá dôvera a kvalita naozaj obdivuhodná.","No specific decision maker (Owner, CEO, Founder) name was found on the provided website content. The 'O NÁS' section refers to a 'tím skúsených odborníkov'."
5a2c88ce-3760-4210-b8e0-1f2ef8ace41e,https://www.cartechsala.sk/,"Bosch Car Service, Autoservis, Pneuservis: C A R T E CH, spol. s ...","CARTECH","","","Naozaj ma zaujalo, že ponúkate 24-hodinovú samoobslužnú autoumyváreň – v dnešnej dobe je takýto dôraz na pohodlie a dostupnosť pre zákazníka naozaj cenný.","No specific decision maker (Owner, CEO, Founder) name found on the website."
ab9080f0-af2d-4de3-a458-0ab3ae5494b0,https://pneuservis-alpex.sk/,"Autoservis Šala | ALPEX","ALPEX","Ing. Ladislav Polák"," pán Polák","Naozaj ma zaujalo, že spoločnosť ALPEX pôsobí v Šali už viac ako dve desaťročia – v dnešnej dobe je to dôkazom stability a spoľahlivosti.","Decision maker name (Ing. Ladislav Polák, konateľ) found via Finstat search using IČO 31449581, not directly on the provided website content."
be65641f-19a9-4f57-b015-7e97b2270c49,https://www.maxxx.sk/,"MAXX Autoservis - Pneuservis","MAXXX","František Iváni"," pán Iváni","Naozaj ma zaujalo, že zákazníkom ponúkate online rezerváciu termínu, vďaka ktorej sa môžu prezuť bez čakania – v dnešnej dobe je takáto úspora času a pohodlie pre klientov naozaj kľúčová hodnota.","Multiple 'Konatelia' listed (František Iváni, Marian Kuvik, Attila Juhász). Picked the first one as the primary contact, as seniority is not specified."
76f6af8b-1117-40ed-b5b5-0041fa72de5f,https://autoservismolnar.sk/,"Autoservis Molnár","Molnár","","","Naozaj ma zaujalo, že ponúkate komplexnú jarnú prípravu vozidla za akciovú cenu – v dnešnej dobe je takáto transparentná ponuka a snaha uľahčiť zákazníkom údržbu vozidla naozaj cenná.","No specific decision maker (owner, CEO, founder) could be identified from the provided website content. The company name 'Molnár' is a surname, but no individual named Molnár is mentioned as the decision maker."
ba0215cf-bd18-4e98-92ea-4acd1a1f108a,http://www.autotraders.sk/,"AUTOTRADE R.S., s.r.o. Rimavská Sobota | Bosch Car Service ...","Autotrade R.S.","","","Naozaj ma zaujalo, že ponúkate non-stop medzinárodnú odťahovú a vyprosťovaciu službu pre vozidlá do hmotnosti 16 ton – v dnešnej dobe je takáto komplexná a nepretržitá podpora pre zákazníkov mimoriadne cenná.","No specific decision maker (owner, CEO, founder) could be identified from the provided website content."
843b86a6-8185-4270-aed3-56ce17f4da89,https://autosluzby.q-service.sk/o-servise/,"O servise - Q-SERVICE ® AUTOSLUŽBY servis, s.r.o.","Autoslužby","","","Naozaj ma zaujalo, že aktívne vzdelávate svojich zákazníkov užitočnými článkami na blogu – v dnešnej dobe je takýto proaktívny prístup k službám veľmi cenný.","No specific decision maker (owner, CEO, founder) could be identified from the provided 'O servise' content."
000d00b9-8aef-45e0-a9dc-32adeb55e7bf,http://www.jp-pneuservis.sk/,"Pneuservis Dubnica | Pneuservis Dubnica","JP-Pneuservis","","","Naozaj ma zaujalo, že prijímate telefonické objednávky 24 hodín denne – v dnešnej dobe je takáto flexibilita a dostupnosť pre zákazníka naozaj cenná.","No decision maker's name (owner, CEO, founder) found on the website."
7afa0c66-a481-4fd9-8d12-5ee52de8a5ca,https://pitstopservis.sk/,"autoservis, pneuservis, autoumyvaren, dubnica nad vahom","PitStop Servis","","","Naozaj ma zaujalo, že ponúkate všetky služby pod jednou strechou – v dnešnej dobe je takáto komplexnosť a pohodlie pre zákazníka naozaj cenné.","Decision maker's name not found in the provided website content."
cee96288-73a0-4e4b-a45f-b24948a44135,https://www.autoservis-dubnica.sk/,"Autoservis M+M | Dubnica nad Váhom","Autoservis M+M","","","Naozaj ma zaujalo, že máte viac ako 10 rokov skúseností v odbore – v dnešnej dobe je to skutočne znak stability a dôveryhodnosti.","Decision maker's name not found on the provided website content."
111af967-fec4-4ba6-aac0-eee0122e5ee0,https://www.wdtrading.sk/,"WD Trading – autoservis Dubnica nad Váhom","WD Trading","Jozef Ďuračka"," pán Ďuračka","Naozaj ma zaujalo, že WD Trading má už viac ako 19 rokov skúseností v oblasti autoservisu – v dnešnej dobe je takáto dlhoročná stabilita a preukázaná odbornosť mimoriadne cenná.","Two 'Konatelia' listed: Jozef Ďuračka and Brian William Wall. Jozef Ďuračka was chosen as the likely primary local contact for a Slovak business."
50ef104b-ec17-41de-86fd-ffef09bec5cc,https://www.kovox.sk/kontakt,"Autoservis VW, Audi, Škoda a SEAT - Autoservis Čadca, Turzovka","KOVOX","","","Naozaj ma zaujalo, že ste špecializovaný nezávislý autoservis pre vozidlá VW, Audi, Škoda a SEAT, vybavený najmodernejšou technikou – v dnešnej dobe je takáto precíznosť a odbornosť naozaj cenná.","No specific decision maker (owner, CEO, founder) name found on the website."
abcfb298-bbdd-49ad-bfd2-515841200506,https://www.kiacadca.sk/servis/,"Autoservis","Kia Čadca","","","Naozaj ma zaujalo, že s vozidlom zákazníka sa u vás zaobchádza s rovnakou pozornosťou, ako keď bolo nové – v dnešnej dobe je takýto prístup k detailom a zákazníckej spokojnosti naozaj vzácny.","No specific decision maker (owner, CEO, founder) could be identified on the provided page content."
3cc5e341-d89c-4810-9d4f-f82141827c5c,https://www.auto-rs.sk/,"Autoservis, pneuservis Čadca, Svrčinovec - RS AUTO s.r.o","Autoservis SPIŠIAK","Pán/Pani SPIŠIAK"," pán SPIŠIAK","Naozaj ma zaujalo, že zabezpečujete kompletný servis pre osobné aj nákladné automobily s využitím moderných diagnostických zariadení – v dnešnej dobe je takýto komplexný a precízny prístup naozaj cenný.","Decision maker's first name and gender could not be identified from the provided content. 'SPIŠIAK' is used in the business name, suggesting it's the owner's last name."
c59dd721-9486-48d3-9824-7a22fe5b05d4,https://arenatech.sk/,"Autoservis – pneuservis – Autoservis","Arenatech","","","Naozaj ma zaujalo, že po dohode so zákazníkom ste schopní pracovať až do ukončenia opravy vozidla – v dnešnej dobe je takáto flexibilita a odhodlanie dokončiť prácu naozaj cenné.","No specific decision maker (owner, CEO, founder) identified on the provided website content."
de753e21-d4fa-44cd-9864-97fd853853b1,https://www.bestdrive.sk/branches/top_pneuservis_spolsro-luenec-jiraskovacesta.html,"TOP PNEUSERVIS spol. s r.o., Lučenec, Jiráskova cesta","TOP PNEUSERVIS","","","Naozaj ma zaujalo, že kladiete veľký dôraz na neustále zvyšovanie kvalifikovanosti všetkých členov tímu a ich vzdelávanie – v dnešnej dobe je takýto záväzok k excelentnosti a rozvoju skutočne obdivuhodný.","No specific decision maker (Owner, CEO, Founder, Doctor) was identified on the provided website content for TOP PNEUSERVIS spol. s r.o. The page describes the branch as a franchise partner of BestDrive."
dd185dcc-2068-4a7a-af7e-4122f71c65a5,https://www.pneumarsro.sk/,"PneuMar | Kvalitný autoservis a pneuservis Lučenec","PneuMar","","","Naozaj ma zaujalo, že máte viac ako 10 rokov skúseností na trhu a dosahujete 93% spokojnosť zákazníkov – v dnešnej dobe je to impozantný dôkaz kvality a spoľahlivosti.","No specific decision maker (owner, CEO, founder) name found on the provided website content."
a89f1659-682a-411d-a9a9-b0bd52ca565a,https://www.autoservis-kovarce.sk/,"Autoservis - Pneuservis | Kovarce - Topoľčany","Autoservis Kovarce","","","Naozaj ma zaujalo, že v Autoservis Kovarce poskytujete školenia a certifikácie pre montážne pracoviská – v dnešnej dobe je vidieť takúto úroveň odbornosti a zdieľania know-how naozaj cenné.","No decision maker name found on the website."
30f37c3c-8a34-4c14-8b37-3de963f780c7,https://autokomplettm.sk/,"Autokomplettm: Úvod","Autokomplet TM","","","Naozaj ma zaujalo, že vám dôveruje už viac ako 1000 klientov – v dnešnej dobe je takáto spokojnosť zákazníkov a preukázaná kvalita naozaj cenná.","No specific decision maker (owner, CEO, founder) name found on the website content."
ed4f1d5e-25bc-4485-963b-2f9c0384d29a,https://www.autoservisjakub.sk/,"Autoservis JAKUB - AUTOSERVIS JAKUB, spol. s r.o.","Autoservis Jakub","","","Naozaj ma zaujalo, že ste autorizovaným predajcom a servisom vozidiel ŠKODA, no zároveň ponúkate servis aj pre vozidlá iných značiek – v dnešnej dobe je takýto komplexný prístup k zákazníkovi naozaj cenný.","No specific decision maker (Owner, CEO, Founder) name found on the provided website content."
6a0dfabc-5125-49f2-b129-8dd2c6e7369f,https://motortech.sk/,"MotorTECH - Viac než autoservis | Ružomberok","MotorTECH","","","Naozaj ma zaujalo, že v MotorTECH ponúkate takú širokú škálu špecializovaných služieb, od dekarbonizácie až po chip tunning a montáž systémov Webasto a Jablotron – v dnešnej dobe je takýto komplexný prístup k starostlivosti o vozidlá skutočne cenný.","Decision maker's name not found on the provided website content."
7f56bee7-b85d-4efc-bf86-a68d6ce153e3,https://autocentrumabc.sk/,"AutoCentrum ABC Ružomberok: Komplexná starostlivosť o vaše ...","Autocentrum ABC","","","Naozaj ma zaujalo, že v Autocentrum ABC ponúkate komplexnú starostlivosť o vozidlo 'na kľúč a bez starostí', vrátane 24/7 pomoci a 20 náhradných vozidiel – v dnešnej dobe je takýto prístup k pohodliu zákazníkov a ich bezstarostnosti naozaj výnimočný.","No specific decision maker (owner, CEO, founder) name was found on the provided website pages. Reviews mention 'Pán bol veľmi ochotný' indicating a male contact person, but no name is given."
128709d6-e547-464d-a312-9666555e5497,https://autoferteam.sk/,"Autoservis Ružomberok | Pneuservis ➡️ AutoFerTeam","AutoFerTeam","","","Naozaj ma zaujalo, že v AutoFerTeam ponúkate náhradné auto, bicykel alebo kolobežku počas opravy – v dnešnej dobe je takýto proklientský prístup naozaj cenný.","Decision maker's name (Owner, CEO, Founder) not found on the website. A customer testimonial mentions 'majiteľ servisu', but no name is provided."
4e83eb53-f97c-44ee-b815-8ed7ebfd904e,https://www.automototechna.sk/,"Autoservis Piešťany - najlepšia starostlivosť pre vaše vozidlá","Automototechna","","","Naozaj ma zaujalo, že ste počas pandémie zaviedli rozsiahle bezpečnostné opatrenia vrátane ozónovej dezinfekcie vozidiel a pritom ste znížili cenu, s jasným odkazom, že vám nejde o zisk, ale o ochranu vašich mechanikov a zákazníkov – v dnešnej dobe je takýto prístup k zodpovednosti a starostlivosti mimoriadne cenný.","Decision maker's name (riaditeľ/owner) is not explicitly stated on the website."
ef1f7aec-4bed-4fc2-9541-01a1e655657e,https://www.autoservisaes.sk/,"Autoservis AES, s.r.o. Liptovský Mikuláš | Bosch Car Service ...","Autoservis AES","","","Naozaj ma zaujalo, že ste súčasťou siete Bosch Car Service – v dnešnej dobe je takýto záväzok ku kvalite a spoľahlivosti kľúčový.","Decision maker could not be identified as no website content was provided."
0a486550-d9bb-4571-95cf-7193fa50f9de,https://autocentrum18.sk/,"Autocentrum Route 18 – Na Váše auto tu čaká autoservis, pneuservis a ...","Autocentrum Route 18","","","Naozaj ma zaujalo, že ponúkate kompletné služby od autoservisu, cez pneuservis až po autoumyváreň na jednom mieste – v dnešnej dobe je takáto komplexnosť a úspora času pre zákazníka naozaj cenná.","Decision maker's name not explicitly stated on the provided website content. 'Patrik Strnádel' is credited for website creation, not as the business owner/CEO."
66572d3c-8c94-4f05-985e-f9160415cec4,http://www.lmservis.com/,"LM servis","LM servis","","","Naozaj ma zaujalo, že ponúkate profesionálnu strojovú výmenu oleja automatických prevodoviek s preplachom a použitím špičkových olejov Motul – v dnešnej dobe je takáto špecializovaná odbornosť a investícia do moderných technológií skutočne cenná.","No specific decision maker's name (Owner, CEO, Founder) found on the provided website content for LM servis or SEVYT s.r.o."
42e13eae-288d-4b08-94d3-93fcca4b0fa6,https://autobeetle.q-service.sk/,"Úvod | Q-SERVICE ® AUTOBEETLE SLOVAKIA s. r. o.","Autobeetle","","","Naozaj ma zaujalo, že Q-SERVICE sieť má viac ako 15 ročnú tradíciu a viac ako 85 servisných partnerov po celom Slovensku – v dnešnej dobe je to dôkazom stability a spoľahlivosti pre zákazníkov.","Decision maker's name not found on the provided website content."
c181392b-1355-4685-b248-15f255bd21cc,https://bjautoservis.eu/,"M4 Autoservis – Autoservis Bardejov","M4 Jajko","","","Naozaj ma zaujalo, že garantujete osobnú starostlivosť konateľa o vozidlo a máte tím 6 pravidelne školených mechanikov – v dnešnej dobe je takýto dôraz na odbornosť a transparentnosť skutočne cenný.","Decision maker's name (konateľ) is mentioned but not specified on the website."
a21c4455-1800-4268-84e1-862b072b0b20,https://bosch.autoservisbardejov.sk/,"Bosch Car Service, Autoservis, Pneuservis: AUTOGARÁŽ s.r.o. ...","AUTOGARÁŽ","","","Naozaj ma zaujalo, že ponúkate alternatívne riešenia pre majiteľov vozidiel s prvotriednou kvalitou a spoľahlivosťou za optimálne ceny, pričom garantujete zachovanie záruky v záručnej dobe – v dnešnej dobe je takýto prístup k zákazníkovi skutočne vzácny a buduje dôveru.","Decision maker's name not found on the website content provided."
695f9d93-79c5-4376-b78b-873f4bf7f3f6,https://www.skoda.s-autoservis.sk/pobocky/humenne,"Humenné","S-Autoservis","","","Naozaj ma zaujalo, že sa špecializujete na servis vozidiel Škoda – v dnešnej dobe je takáto odbornosť a zameranie na kvalitu veľmi cenné.","Website content was not provided, so decision maker and specific business facts could not be identified. The icebreaker sentence is a general compliment based on the company's apparent specialization derived from the domain name."
ceb8ee91-ab8b-40d9-ad69-75f9f1cc5e6d,https://www.autobazar.eu/predajca/s-autoservis-he/,"Predajca Š-Autoservis Vranov, s.r.o. prev. Humenné","Š-Autoservis","","","Naozaj ma zaujalo, že ste získali ocenenie „Profesionál“ a pôsobíte ako autorizovaný predajca – v dnešnej dobe je takáto dôveryhodnosť veľmi cenná.","Decision maker's name not found on the provided page. The official name listed is 'Omnicom Media Group, s.r.o.', but no individual names are associated with 'Š-Autoservis Vranov, s.r.o. prev. Humenné' on this profile."
f836e26d-bb0a-4f5b-abca-ec18f31df8b4,https://www.afesta.sk/,"Autocentrum AFESTA - Autocentrum AFESTA","AFESTA","","","Naozaj ma zaujalo, že už od roku 2008 poskytujete komplexné služby autoservisu, pneuservisu a umývacej linky pod jednou strechou – v dnešnej dobe je takáto spoľahlivosť a komplexný prístup naozaj cenný a svedčí o záväzku ku kvalite.","Decision maker's name not found on the provided website content."
4cbf9dff-22ed-45c3-976d-c1e6a460d5e8,https://www.orion.sk/,"ORION Autoservis Humenné | Autoservis Humenné, pneuservis ...","ORION","Dušan Demjan"," pán Demjan","Naozaj ma zaujalo, že ORION Humenné je na trhu už od roku 1991 – v dnešnej dobe je takáto dlhoročná tradícia a skúsenosti naozaj cenné.","Dušan Demjan je uvedený ako zodpovedný za predaj a poradenstvo pre vozidlá ISUZU, čo je kľúčová manažérska pozícia, ale nie je explicitne označený ako majiteľ alebo CEO. Je to najvyššie postavená menovaná kontaktná osoba s priamou zodpovednosťou."
